objectid_1,objectid,acreage,sqft,final_cat,type_,sector,origpkname,updatepknm,alterntnam,divname,shape_leng,globalid,created_user,created_date,last_edited_user,last_edited_date,maintenanceresponsibility,Shape__Area,Shape__Length,GlobalID_2
71,71,643.80298504,28044058.0284,Regional Park,RP,10,Frick Park,Frick Park,Frick Park,Eastern,75685.9897736,4012cac2-c9fc-4074-8331-0c10b213ef16,pgh.admin,2017-07-18T14:29:01.712Z,pgh.admin,2017-07-18T14:29:01.712Z,Parks - Eastern,0.000260225495668155,0.246850461783675,bf1fd4a9-632d-44ec-93c6-495590e0e7e9
72,72,1.95542019,85178.1036933,Neighborhood Park,NP,12,Friendship Park,Friendship Park,Friendship Park,Northeast,1901.42659879,f95cbafc-dcd8-493f-8b98-89745c6434ca,pgh.admin,2017-07-18T14:29:01.712Z,pgh.admin,2017-07-18T14:29:01.712Z,Parks - Northeast,8.40292007220218e-07,0.00668425622155756,8558ce5c-1cad-4a56-b7f4-3e432f1afb73
73,73,3.42605537,149238.971922,Neighborhood Park,NP,1,Gardner Field,Gardner Park,Gardner Park,Northern,1857.62322656,62e2d7c6-aeec-4aef-83a6-3fd1f4dcb8ee,pgh.admin,2017-07-18T14:29:01.712Z,pgh.admin,2017-07-18T14:29:01.712Z,Parks - Northern,1.47223902742761e-06,0.00581106931510398,92e660fd-8fc9-4ce3-bc6b-5d55d94647c1
74,74,3.20146345,139455.7479,Neighborhood Park,NP,12,Garland Parklet,Garland Park,Garland Park,Northeast,1899.44181991,57d9a24b-1e2e-45c4-b7b0-8ca0b4afb9de,pgh.admin,2017-07-18T14:29:01.712Z,pgh.admin,2017-07-18T14:29:01.712Z,Parks - Northeast,1.3757744312163e-06,0.00587625755001876,7ea71b0c-ee24-4ede-97d7-e21abb49c837
75,75,3.3440402,145666.391044,Neighborhood Park,NP,9,Gladstone Field,Gladstone Park,Gladstone Park,Schenley,1630.11987804,2f062758-efae-4329-9ae2-4a4049c76c2f,pgh.admin,2017-07-18T14:29:01.712Z,pgh.admin,2017-07-18T14:29:01.712Z,Parks - Schenley,1.4360164622758e-06,0.00497432991004362,dae7be7a-43b7-4fb6-bdb8-5978c29062d0
76,76,0.00106943,46.58433633,Beautification Site,BTF,10,Glen Arden Circle,Glen Arden Circle,Glen Arden Circle,Eastern,24.316377,c273533e-c3d7-41a9-ad58-cac20ff7937b,pgh.admin,2017-07-18T14:29:01.712Z,pgh.admin,2017-07-18T14:29:01.712Z,3rd Division,4.59449150092115e-10,7.73890372077921e-05,01f8f208-f2c5-41b7-a2fb-6b22da8c9db6
77,77,0.00720536,313.86568601,Beautification Site,BTF,10,Glen Arden Triangle,Glen Arden Triangle,Glen Arden Triangle,Eastern,69.95243577,42b935d1-085d-4ec1-951b-8c2e02bf702a,pgh.admin,2017-07-18T14:29:01.712Z,pgh.admin,2017-07-18T14:29:01.712Z,3rd Division,3.09567007807733e-09,0.000219173434676436,64960d23-bd80-46a6-b8ca-97588ea722d0
78,78,6.14713538,267769.216995,Regional Park,RP,6,Grandview Overlook,Emerald View Park - Grandview Overlook,Emerald View Regional Park (Grandview Overlook),Western,5037.75089773,e065b497-78da-4f77-b22f-ad9c13a0b5ec,pgh.admin,2017-07-18T14:29:01.712Z,pgh.admin,2017-07-18T14:29:01.712Z,Parks - Western,2.6404293172476e-06,0.0165844826250267,e8b45fb3-d9b2-4e4e-9ca8-fda1152cf3c4
79,79,33.44313348,1456782.8946,Regional Park,RP,6,Grandview Park,Emerald View Park  - Grandview Park,Emerald View Regional Park (Grandview Park),Southern,14446.4975317,aeeefde8-4347-4ab7-8bdf-bc2bedd16135,pgh.admin,2017-07-18T14:29:01.712Z,pgh.admin,2017-07-18T14:29:01.712Z,Parks - Southern,1.43637286350001e-05,0.0474733238053135,4add701a-a60d-40c4-83cd-7d2a398646b3
80,80,0.43052103,18753.4961869,Beautification Site,BTF,16,Grant Street Islands,Grant Street Islands,Grant Street Islands,State,3596.22994508,ec7791b6-034e-4e49-95d3-594550c438cf,pgh.admin,2017-07-18T14:29:01.712Z,pgh.admin,2017-07-18T14:29:01.712Z,6th Division,1.84944472824051e-07,0.0107431735103863,5546d865-365c-4335-b3fd-513224334720
81,81,0.64322784,28019.0045991,Neighborhood Park,NP,15,Granville Parklet,Granville Park,Granville Park,Schenley,699.57107337,eea870bf-624f-48a6-86ba-81f5b2b87dae,pgh.admin,2017-07-18T14:29:01.712Z,pgh.admin,2017-07-18T14:29:01.712Z,Parks - Schenley,2.7633710422429e-07,0.00219712211671801,62452509-84ce-4fa5-acd5-25f6d26d11e5
82,82,0.25857234,11263.4111176,Beautification Site,BTF,14,Harris Triangle,Harris Triangle,Harris Triangle,Northeast,646.68556183,d842d827-fc4b-4451-98da-151fc35d1a76,pgh.admin,2017-07-18T14:29:01.712Z,pgh.admin,2017-07-18T14:29:01.712Z,3rd Division,1.11104036068424e-07,0.0018801260503087,684f21a7-6a22-44e7-a234-c916eb7beeb0
83,83,1.26312639,55021.7857298,Neighborhood Park,NP,8,Hays Parklet,Hays Park,Hays Park,Southern,1369.16447913,286d8335-f1a8-402b-969d-0ede4cfcd2cc,pgh.admin,2017-07-18T14:29:01.712Z,pgh.admin,2017-07-18T14:29:01.712Z,Parks - Southern,5.42167123226569e-07,0.00439722946355521,49d2c0ab-b4e5-44e0-8428-d7b46e9758ce
84,84,1.30665764,56918.0066196,Special Use Park,SU,9,Hazelwood Senior Center,Hazelwood Senior Center,Hazelwood Senior Center,Schenley,959.54010567,6d68e648-9a59-4a3e-a7af-2206e8e4ee32,pgh.admin,2017-07-18T14:29:01.712Z,pgh.admin,2017-07-18T14:29:01.712Z,Parks - Schenley,5.610161332486e-07,0.00305262295268921,3a96a909-0633-46a0-bfa1-f3463f72ce2d
86,86,20.40661897,888912.322392,Community Park,CP,4,Hershel Playground,Herschel Park,Hershel Park,Western,5898.08325819,5011c72c-2a08-418b-844d-b3dbbca6075e,pgh.admin,2017-07-18T14:29:01.712Z,pgh.admin,2017-07-18T14:29:01.712Z,Parks - Western,8.76620542055743e-06,0.0192170484533154,88ce2331-0574-49a4-bef1-cc2d4fca06b6
87,87,5.10805001,222506.658509,Neighborhood Park,NP,12,Heths Playground,Heth's Park,Heth's Park,Northeast,2181.06130748,a6a4ac92-5a00-4af5-9f11-716e51079fea,pgh.admin,2017-07-18T14:29:01.712Z,pgh.admin,2017-07-18T14:29:01.712Z,Parks - Northeast,2.19553773213311e-06,0.00656012647767668,e160e754-9fdc-44a6-ae06-35cd2751202e
88,88,0.05664547,2467.47680662,Beautification Site,BTF,12,Highland Ave Plant Strip,Highland Ave Plant Strip,Highland Ave Plant Strip,Northeast,361.07461526,646d5e11-0ec7-4f5b-81ad-0e50bd2bfcbe,pgh.admin,2017-07-18T14:29:01.712Z,pgh.admin,2017-07-18T14:29:01.712Z,2nd Division,2.43431748770473e-08,0.00124356536114461,ffb15b04-0c7a-4972-8d02-f123b5b8beda
89,89,377.9090572,16461718.5316,Regional Park,RP,12,Highland Park,Highland Park,Highland Park,Northeast,107319.676945,c9e4bd66-e2b3-4f4a-b49b-a9f1ee0688b3,pgh.admin,2017-07-18T14:29:01.712Z,pgh.admin,2017-07-18T14:29:01.712Z,Parks - Northeast,0.000162439893810593,0.3363304885298,126a1044-4c5e-49c9-add6-e07ac127c36b
90,90,2.68816501,117096.467788,Neighborhood Park,NP,11,Homewood Playground,Homewood Park,Homewood Park,Eastern,1360.90801945,9296bb5e-10ce-4bb7-a855-54fe7a1c97be,pgh.admin,2017-07-18T14:29:01.712Z,pgh.admin,2017-07-18T14:29:01.712Z,Parks - Eastern,1.15502308138665e-06,0.00434856198493351,3dc85873-f5c5-4bb0-8adb-fedaa5ae998f
91,91,0.22122599,9636.60398648,Special Use Park,SU,11,Homewood Senior Center,Homewood Senior Center,Homewood Senior Center,Eastern,410.87559451,38905c2c-76b0-4f28-8608-655f6a76897b,pgh.admin,2017-07-18T14:29:01.712Z,pgh.admin,2017-07-18T14:29:01.712Z,Parks - Eastern,9.50583100348404e-08,0.00127012990802404,ac1dadc2-d354-4044-b24d-ba6be0f340e5
93,93,0.0345107,1503.28594022,Beautification Site,BTF,16,Jail Triangle,Jail Triangle,Jail Triangle,State,169.0067854,2193e97c-d602-446e-94a5-d37370e864ec,pgh.admin,2017-07-18T14:29:01.712Z,pgh.admin,2017-07-18T14:29:01.712Z,6th Division,1.48247739894582e-08,0.0005687179772282,45b28c5e-5630-455c-a6bf-517653f5b8f3
94,94,0.5932533,25842.1137608,Neighborhood Park,NP,3,Jefferson Playground,Jefferson Park,Jefferson Park,Northern,679.93778871,fbfc5a30-c277-428b-b9a3-d8fd5eb06a64,pgh.admin,2017-07-18T14:29:01.712Z,pgh.admin,2017-07-18T14:29:01.712Z,Parks - Northern,2.54922086581115e-07,0.00206565821467572,e1504207-fce5-4612-911e-1914b4e1540a
95,95,5.41335373,235805.68849,Neighborhood Park,NP,12,Joe Natoli Playground,Joe Natoli Park,Joe Natoli Park,Northeast,2027.25345377,bc75545d-28e9-4c68-b1fd-40fa6c3b3bbf,pgh.admin,2017-07-18T14:29:01.712Z,pgh.admin,2017-07-18T14:29:01.712Z,Parks - Northeast,2.32697518573268e-06,0.00651284049242497,46598781-a720-4776-b77f-c27bfc3c7e38
96,96,13.43462876,585212.428624,Neighborhood Park,NP,15,Kennard Playground,Kennard Park,Kennard Park,Schenley,3273.39535077,6354bb5b-f289-4868-a4b7-04d9ceb09d7b,pgh.admin,2017-07-18T14:29:01.712Z,pgh.admin,2017-07-18T14:29:01.712Z,Parks - Schenley,5.77149476165245e-06,0.00986585007435359,03e5708a-2565-4712-99ab-f93e20383dce
97,97,0.92300399,40206.0539646,Neighborhood Park,NP,12,Kite Hill Parklet,Kite Hill Park,Kite Hill Park,Northeast,858.45771873,02503ebc-2418-4c2e-b973-7e5d809e7408,pgh.admin,2017-07-18T14:29:01.712Z,pgh.admin,2017-07-18T14:29:01.712Z,Parks - Northeast,3.96662721911424e-07,0.00262776498827677,97589a7d-747b-426f-8477-1c00af13eea6
98,98,1.47538734,64267.8726495,Neighborhood Park,NP,12,Larimer Playground,Larimer Park,Larimer Park,Northeast,1546.479562,e2dfdfa0-07bf-44bc-b67a-987e04079b1f,pgh.admin,2017-07-18T14:29:01.712Z,pgh.admin,2017-07-18T14:29:01.712Z,Parks - Eastern,6.34044162592669e-07,0.00482896656304121,37b267e5-f41f-4773-9602-cb5697aac85d
99,99,0.43518057,18956.4654363,Neighborhood Park,NP,14,Lawn & Ophelia Playground,Lawn and Ophelia Park,Lawn and Ophelia Park,Schenley,701.5748464,1eb23da9-b4bd-4b7f-ae4b-f51bfe67db3f,pgh.admin,2017-07-18T14:29:01.712Z,pgh.admin,2017-07-18T14:29:01.712Z,Parks - Schenley,1.86933584434876e-07,0.0022329003585833,8ba14bb1-14c6-4cc1-8821-a91bcc88a267
100,100,0.12453079,5424.56104262,Beautification Site,BTF,10,Le Roi Rd Island,Le Roi Rd Island,Le Roi Rd Island,Eastern,541.81569145,f6aa791b-e26a-4809-8abb-6b6b83fc14cc,pgh.admin,2017-07-18T14:29:01.712Z,pgh.admin,2017-07-18T14:29:01.712Z,3rd Division,5.35022767561398e-08,0.0015916959689473,64061874-9348-49bb-8a28-2074d23bf5c4
101,101,0.69760921,30387.8572596,Beautification Site,BTF,2,Legion Memorial Park,Legion Memorial Park,Legion Memorial Park,Northern,786.64578979,8256c558-9b8e-4999-af5e-828fca9537b9,pgh.admin,2017-07-18T14:29:01.712Z,pgh.admin,2017-07-18T14:29:01.712Z,Parks - Northern,2.99864060335018e-07,0.00253317086131669,482e347a-4328-42b2-9f25-f855cb9631aa
102,102,0.20970478,9134.74022969,Neighborhood Park,NP,1,Leister St Parklet,Leister Street Park,Leister Street Park,Northern,410.53604786,a9d16cfe-003c-476c-8ea2-0d522202d3ea,pgh.admin,2017-07-18T14:29:01.712Z,pgh.admin,2017-07-18T14:29:01.712Z,Parks - Northern,9.01146058010738e-08,0.00130730339300812,d471aace-5a25-443f-b196-6b80892bc075
103,103,0.45531521,19833.5306245,Neighborhood Park,NP,5,Leolyn Parklet,Leolyn Park,Leolyn Park,Southern,617.72292841,f027a6f9-cb67-4ec2-8d03-66eb8ad658f0,pgh.admin,2017-07-18T14:29:01.712Z,pgh.admin,2017-07-18T14:29:01.712Z,Parks - Southern,1.95477916193101e-07,0.00197359798088139,7455f0d8-67e7-45d1-b7b2-68e8230806ef
104,104,6.02791966,262576.180241,Neighborhood Park,NP,13,Leslie Park,Leslie Park,Leslie Park,Northeast,2066.00460031,8728e9ee-a6c5-49fa-80f8-b369a26aae02,pgh.admin,2017-07-18T14:29:01.712Z,pgh.admin,2017-07-18T14:29:01.712Z,Parks - Northeast,2.59072758873975e-06,0.00652701970967046,28ec0354-cf35-49a7-bfef-993ea4164ef2
105,105,0.89513095,38991.9039992,Neighborhood Park,NP,9,Lewis Playground,Lewis Park,Lewis Park,Schenley,796.3927443,635c355b-aae2-42d7-ab29-d1d6a357bf97,pgh.admin,2017-07-18T14:29:01.712Z,pgh.admin,2017-07-18T14:29:01.712Z,Parks - Schenley,3.84379175342689e-07,0.00248339258415779,8f8c86bb-aed2-4c53-93f8-f0be762acb8e
106,106,1.15756859,50423.6879398,Beautification Site,BTF,16,Liberty Avenue Island,Liberty Avenue Island,Liberty Avenue Island,State,2220.12911752,ab150e5d-67ff-4b95-a634-3e3c5397f38b,pgh.admin,2017-07-18T14:29:01.712Z,pgh.admin,2017-07-18T14:29:01.712Z,6th Division,4.97280599933518e-07,0.00749735616860067,c24c5494-5e3d-456a-af3e-f567f8c72453
107,107,1.07958044,47026.5241748,Public School,SCH,12,Liberty School,Liberty School,Liberty School,Eastern,862.76582467,7e29fb69-a731-4ce0-85f8-70d360271a0a,pgh.admin,2017-07-18T14:29:01.712Z,pgh.admin,2017-07-18T14:29:01.712Z,,4.63861761462348e-07,0.0027213371014072,8174fc5b-79d6-46e1-a5c4-ee33eacc4d8f
108,108,0.63524447,27671.249206,Neighborhood Park,NP,8,Lincoln Place Parklet,Lincoln Place Park,Lincoln Place Park,Southern,763.19671597,b4b74fc4-80c6-4534-93d5-83dcd06e43c8,pgh.admin,2017-07-18T14:29:01.712Z,pgh.admin,2017-07-18T14:29:01.712Z,Parks - Southern,2.72609324906636e-07,0.00225633695769407,65c46775-7db8-4dc4-afb8-5ab404efff06
109,109,0.16077704,7003.44797943,Public School,SCH,10,Linden School,Linden School,Linden School,Eastern,348.56388214,37de6533-2203-4575-8815-945d7bde9192,pgh.admin,2017-07-18T14:29:01.712Z,pgh.admin,2017-07-18T14:29:01.712Z,,6.90718746573229e-08,0.00108092065019425,439ab89f-1360-457f-9b09-31a35ae9465d
110,110,0.25679283,11185.8955317,Special Use Park,SU,6,Lodge Potenza Senior Center,Lodge Potenza Senior Center,Lodge Potenza Senior Center,Western,471.67752809,8a29e613-32df-49c3-8a6c-f48f768f311f,pgh.admin,2017-07-18T14:29:01.712Z,pgh.admin,2017-07-18T14:29:01.712Z,Parks - Western,1.10297580058343e-07,0.00147785126855777,0207ac31-3464-4b97-b967-67c4d36443d0
111,111,0.15293046,6661.65105224,Other,OTR,3,Loraine St Tot Lot,Loraine St Park,Loraine St Tot Lot,Northern,333.32413188,bcd30104-5771-41b0-84f9-79aa9187f0e8,pgh.admin,2017-07-18T14:29:01.712Z,pgh.admin,2017-07-18T14:29:01.712Z,1st Division,6.57142187251025e-08,0.00108242197854877,ff0960f7-12a4-4217-8564-2c0d027072e3
112,112,6.14668577,267749.632204,Neighborhood Park,NP,9,Magee Playground,Magee Park,Magee Park,Schenley,2175.67690171,45b6cc70-4efb-4c09-9430-d2401edca968,pgh.admin,2017-07-18T14:29:01.712Z,pgh.admin,2017-07-18T14:29:01.712Z,Parks - Schenley,2.63993045834829e-06,0.00671218273135789,6ff952ba-d8ee-448e-bf0b-55934395284c
113,113,2.30584219,100442.485853,Neighborhood Park,NP,3,Manchester Park,Manchester Park,Manchester Park,Northern,1563.26918368,ce0b955c-091a-4ce4-a0bd-6f24dfe298bb,pgh.admin,2017-07-18T14:29:01.712Z,pgh.admin,2017-07-18T14:29:01.712Z,Parks - Northern,9.90821641648575e-07,0.00520271593448686,13cb9e9e-b2e3-4ed9-91a3-8f087aeac33a
114,114,3.88269754,169130.304947,Neighborhood Park,NP,3,Manchester Playground,Manchester School Park,Manchester School Park,Northern,1734.43395184,98a049bc-a038-4cf7-bc06-a8ab9c41582f,pgh.admin,2017-07-18T14:29:01.712Z,pgh.admin,2017-07-18T14:29:01.712Z,Parks - Northern,1.30914535651459e-06,0.00485930802602798,d6be6afa-d980-449e-96c0-0ccd56544348
115,115,0.51112629,22264.661162,Community Park,CP,16,Market Square Park,Market Square Park,Market Square Park,State,654.39000431,2135e0d3-02e0-47df-bd9c-fd24eba4397d,pgh.admin,2017-07-18T14:29:01.712Z,pgh.admin,2017-07-18T14:29:01.712Z,Parks - Northern,2.87709143678485e-07,0.00209350453336234,d81a849c-299c-430b-b8ef-c1bb5f774655
116,116,2.76256705,120337.420558,Neighborhood Park,NP,2,Marmaduke Playground,Marmaduke Park,Marmaduke Park,Northern,1791.42794545,273f4bbe-25d9-42a3-a546-370af99b1275,pgh.admin,2017-07-18T14:29:01.712Z,pgh.admin,2017-07-18T14:29:01.712Z,Parks - Northern,1.18752562632459e-06,0.00586423540395286,fd30a2dd-380c-41d5-93d8-dbbc4e44fac0
117,117,0.26019683,11334.1739777,Neighborhood Park,NP,2,Marshall- California Parklet,Marshall-California Park,Marshall-California Park,Northern,410.24135099,983fe92d-da67-43c0-8bc3-997714b25d4d,pgh.admin,2017-07-18T14:29:01.712Z,pgh.admin,2017-07-18T14:29:01.712Z,Parks - Northern,1.1181267566475e-07,0.00132767341781809,de4861f5-76f8-407f-9886-198d09bb389d
118,118,3.48114912,151638.85562,Neighborhood Park,NP,15,Martin Luther King Field,Martin Luther King Park,Martin Luther King Park,Schenley,1676.04109057,bfb9c411-1a59-4391-b943-43f1c525cdb4,pgh.admin,2017-07-18T14:29:01.712Z,pgh.admin,2017-07-18T14:29:01.712Z,Parks - Schenley,1.49543489442777e-06,0.00532266011624384,d78b2b42-f886-48a8-96e4-2a305d74f5df
119,119,22.72821792,990041.172673,Community Park,CP,8,McBride Park,McBride Park,McBride Park,Southern,7470.06276691,c5ca4ed7-b654-4d29-9e89-caba44345bf4,pgh.admin,2017-07-18T14:29:01.712Z,pgh.admin,2017-07-18T14:29:01.712Z,Parks - Southern,9.75363817230694e-06,0.0251854299448313,8faf61c9-5424-43e3-96ce-e734711197c1
120,120,0.19982878,8704.54174796,Neighborhood Park,NP,13,McCandless Tot Lot,McCandless Park,McCandless Park,Northeast,376.61683219,6466049c-ed79-4b4a-a7fd-eee9db4eaba5,pgh.admin,2017-07-18T14:29:01.712Z,pgh.admin,2017-07-18T14:29:01.712Z,Parks - Northeast,8.58942157138286e-08,0.00120315701946962,8504a9dd-6789-400f-85a0-437e7a74e7e2
121,121,8.92268342,388672.089567,Neighborhood Park,NP,4,McGonigle Playground,McGonigle Park,McGonigle Park,Western,4098.9491653,96e44c78-3181-4961-8e84-b40b284bbfb6,pgh.admin,2017-07-18T14:29:01.712Z,pgh.admin,2017-07-18T14:29:01.712Z,Parks - Western,3.83410248427642e-06,0.0129129533927511,1fe303d9-51c5-4cc4-85f7-996384ff12ae
122,122,78.52803838,3420681.35164,Community Park,CP,6,McKinley Park,McKinley Park,McKinley Park,Southern,17715.7659737,0057c452-d431-4d76-bd57-a1f581977a5e,pgh.admin,2017-07-18T14:29:01.712Z,pgh.admin,2017-07-18T14:29:01.712Z,Parks - Southern,3.37207299699819e-05,0.0568563270100306,c6175ca5-2029-4866-ae60-6cf1da33a29c
123,123,1.61581181,70384.7626472,Neighborhood Park,NP,3,McKnight Playground,McKnight Park,McKnight Park,Northern,1279.69245254,715318ec-dbf0-4148-a625-0277f6755aab,pgh.admin,2017-07-18T14:29:01.712Z,pgh.admin,2017-07-18T14:29:01.712Z,Parks - Northern,6.94246064279345e-07,0.00434549941847722,2e3a44e4-bfd0-4b51-8f96-ee6604756fa4
124,124,0.60591979,26393.8660683,Beautification Site,BTF,11,McPherson Blvd Strip,McPherson Blvd Strip,McPherson Blvd Strip,Eastern,2418.06827803,7b7961f7-5e49-410f-a46c-cb27d41465fc,pgh.admin,2017-07-18T14:29:01.712Z,pgh.admin,2017-07-18T14:29:01.712Z,2nd Division,2.60348151497939e-07,0.00821720341992219,cabfb67f-4947-4218-99ac-4d91830b0fe9
125,125,32.53684368,1417304.91088,Community Park,CP,10,Mellon Park,Mellon Park,Mellon Park,Eastern,7625.3993799,afed3549-f340-4b7c-83dd-cee2c7b29ffe,pgh.admin,2017-07-18T14:29:01.712Z,pgh.admin,2017-07-18T14:29:01.712Z,Parks - Eastern,1.39799051854026e-05,0.0250724141022195,366b724b-4bfa-41a8-a564-a793b5d2605a
126,126,0.67192389,29269.0046141,Beautification Site,BTF,10,Mellon Park Island,Mellon Park Island,Mellon Park Island,Eastern,744.325083,79324a1c-1ea2-4101-8abc-c0bb3353dfc8,pgh.admin,2017-07-18T14:29:01.712Z,pgh.admin,2017-07-18T14:29:01.712Z,3rd Division,2.88698736664252e-07,0.00232571995252148,d448d169-3697-4333-808c-94ff2e912620
127,127,1.40141296,61045.5484173,Community Park,CP,16,Mellon Square Park,Mellon Square Park,Mellon Square Park,State,972.19563334,edbff294-ea77-46e2-be64-dcfebbf319e8,pgh.admin,2017-07-18T14:29:01.712Z,pgh.admin,2017-07-18T14:29:01.712Z,Parks - Northern,6.02030181549726e-07,0.003120671468824,3176df94-d506-4f1d-a490-6249805c0092
128,128,0.07905985,3443.84695297,Beautification Site,BTF,10,Monitor St and St Phil Islands,Monitor St and St Phil Islands,Monitor St and St Phil Islands,Eastern,251.94530266,8b16bb3a-205c-4812-aa9a-ad87e31e2a78,pgh.admin,2017-07-18T14:29:01.712Z,pgh.admin,2017-07-18T14:29:01.712Z,3rd Division,3.39559007260179e-08,0.000820618803210301,24150874-61b1-4189-8c3f-1122501c143f
129,129,6.51642346,283855.406009,Neighborhood Park,NP,7,Monongahela Playground,Monongahela Park,Monongahela Park,Southern,2224.84284636,6d41972a-17ea-447a-8aec-792fed745308,pgh.admin,2017-07-18T14:29:01.712Z,pgh.admin,2017-07-18T14:29:01.712Z,Parks - Southern,2.79858527650554e-06,0.00701486693613172,4b01c4b6-95a5-4dcc-8b44-f9c0b31fa82e
130,130,10.10778363,440295.054776,Community Park,CP,5,Moore Park,Moore Park,Moore Park,Southern,2752.13027248,50baa3f0-758b-4bbb-98d6-3c07b42a0826,pgh.admin,2017-07-18T14:29:01.712Z,pgh.admin,2017-07-18T14:29:01.712Z,Parks - Southern,4.33989514793481e-06,0.0090191985514163,b0df47f1-b15e-49cd-801b-ca50ca839d15
131,131,0.60059884,26162.085415,Beautification Site,BTF,12,Morrow Triangle,Morrow Triangle Park,Morrow Triangle,Northeast,682.96902252,074eb498-c5ce-4a44-a57e-3da9bb631f88,pgh.admin,2017-07-18T14:29:01.712Z,pgh.admin,2017-07-18T14:29:01.712Z,Parks - Northeast,2.58068831779627e-07,0.00219006783455154,29c867e2-b876-45a2-9e16-c14600db34cf
132,132,45.75611895,1993136.54151,Regional Park,RP,6,Mt. Washington Park,Emerald View Park - Mt. Washington Park,Emerald View Regional Park (Mt. Washington Park),Western,11386.2207019,59f0daee-69f6-46e3-b6a8-f7586c78f386,pgh.admin,2017-07-18T14:29:01.712Z,pgh.admin,2017-07-18T14:29:01.712Z,Parks - Western,1.96510516901498e-05,0.0349188238423974,ad687823-6ce8-4944-8fc2-665d5ba3bc3c
133,133,0.34528415,15040.5775973,Neighborhood Park,NP,4,Mutual Parklet,Mutual Park,Mutual Park,Western,629.88083149,c3ced6af-31f3-4c14-88e2-a17fe6b295e6,pgh.admin,2017-07-18T14:29:01.712Z,pgh.admin,2017-07-18T14:29:01.712Z,Parks - Western,1.48353959477865e-07,0.00191436789826788,03f1a18a-01b9-402c-97e9-d41ab4850d65
134,134,0.89138123,38828.5664754,Beautification Site,BTF,12,Negley Run Blvd,Negley Run Blvd,Negley Run Blvd,Northeast,1568.61965766,0d64322c-0c5d-4008-9652-0cf4c8e5075e,pgh.admin,2017-07-18T14:29:01.712Z,pgh.admin,2017-07-18T14:29:01.712Z,2nd Division,3.83071676003026e-07,0.00543458413517032,e3ec337a-809a-4c22-a21c-e13fd5e804a0
135,135,0.30517109,13293.2528718,Beautification Site,BTF,12,Negley Run Strip,Negley Run Strip,Negley Run Strip,Northeast,2218.24432926,8ac3fca1-8733-447b-988f-7aee4671ad77,pgh.admin,2017-07-18T14:29:01.712Z,pgh.admin,2017-07-18T14:29:01.712Z,2nd Division,1.31146672954776e-07,0.00731161493440425,22b58912-37d2-4db1-a5f1-3eab20962bf7
136,136,0.15624247,6805.92204615,Beautification Site,BTF,12,Negley-Collins Triangle,Negley-Collins Triangle,Negley-Collins Triangle,Northeast,340.7149413,6800cfe2-5d26-4f19-a71f-8e507978ad94,pgh.admin,2017-07-18T14:29:01.712Z,pgh.admin,2017-07-18T14:29:01.712Z,2nd Division,6.7144846469226e-08,0.00112414627803257,3b69caa3-2076-48a3-b583-1d2770b10160
137,137,0.20943095,9122.81237546,Neighborhood Park,NP,12,Nelson Mandela Peace Park,Nelson Mandela Peace Park,Nelson Mandela Peace Park,Northeast,380.74585599,35047ae7-12cb-4117-a56d-9651d14ca53e,pgh.admin,2017-07-18T14:29:01.712Z,pgh.admin,2017-07-18T14:29:01.712Z,Parks - Northeast,9.00019961378777e-08,0.00118133155557547,4642731a-7c1c-4a10-b9d3-e82ec286bead
138,138,0.22416144,9764.47221494,Neighborhood Park,NP,14,Niagara Parklet,Niagara Park,Niagara Park,Schenley,395.33651145,590b1935-1d5d-4c5d-bd92-b1b469bc3c1c,pgh.admin,2017-07-18T14:29:01.712Z,pgh.admin,2017-07-18T14:29:01.712Z,Parks - Schenley,9.62880446636834e-08,0.00125997706878233,ec70c85f-b7ff-44e9-a29a-4a547266ed31
139,139,10.10921001,440357.187871,Riverfront Park,RVR,16,Northshore Riverfront Park,Northshore Riverfront Park,Northshore Riverfront Park,State,10104.3707589,68640034-1684-42f3-b6ea-c292096f526e,pgh.admin,2017-07-18T14:29:01.712Z,pgh.admin,2017-07-18T14:29:01.712Z,Parks - Northern,4.34308360587876e-06,0.0353959407951283,adbf7053-d701-44bb-a0df-f04246fb6283
140,140,0.5692298,24795.649995,Beautification Site,BTF,14,Oakland Square,Oakland Square,Oakland Square,Schenley,878.14842866,e2748b8b-a3d3-4195-9c81-58b9b2062c7c,pgh.admin,2017-07-18T14:29:01.712Z,pgh.admin,2017-07-18T14:29:01.712Z,3rd Division,2.44519754254952e-07,0.00301181537477761,ba8f18ae-e17b-4d5b-81b9-fa48cf35f303
141,141,4.88267048,212689.125991,Neighborhood Park,NP,4,Oakwood Playground,Oakwood Park,Oakwood Park,Western,3111.47553148,62caf5f1-7f9e-4563-8a86-41b42ccbf634,pgh.admin,2017-07-18T14:29:01.712Z,pgh.admin,2017-07-18T14:29:01.712Z,Parks - Western,2.09707615576071e-06,0.00977948859489602,823d2329-65d1-4f57-9fe8-977d903dd152
143,143,9.27840525,404167.332504,Regional Park,RP,6,Olympia Park,Emerald View Park - Olympia Park,Emerald View Regional Park (Olympia Park),Western,2810.16261338,5217a635-cba9-4f1e-93c7-a604fc8f59e3,pgh.admin,2017-07-18T14:29:01.712Z,pgh.admin,2017-07-18T14:29:01.712Z,Parks - Western,3.9853089190859e-06,0.00850606825283529,ca430c31-6063-44f9-97ec-7ff7a3115476
