objectid_1,objectid,acreage,sqft,final_cat,type_,sector,origpkname,updatepknm,alterntnam,divname,shape_leng,globalid,created_user,created_date,last_edited_user,last_edited_date,maintenanceresponsibility,Shape__Area,Shape__Length,GlobalID_2
16,16,0.27823389,12119.8681822,Beautification Site,BTF,14,Bates St Triangle,Bates St Triangle,Bates St Triangle,Schenley,431.50681888,88d2aac9-ab97-4fe4-95de-093659d7a5fd,pgh.admin,2017-07-18T14:29:01.712Z,pgh.admin,2017-07-18T14:29:01.712Z,3rd Division,1.19515140573435e-07,0.00137930075693256,2a1785ec-b7dc-408e-8982-1de876390b49
17,17,0.27630202,12035.7158107,Beautification Site,BTF,12,Baum Negley Triangle,Baum Negley Triangle,Baum Negley Triangle,Northeast,504.37222474,fa3d8490-619c-4c5d-acee-a60c745dd8b5,pgh.admin,2017-07-18T14:29:01.712Z,pgh.admin,2017-07-18T14:29:01.712Z,2nd Division,1.18726920997663e-07,0.00165191325106685,c5ca662d-3f18-4176-ba91-92152c2aad2f
18,18,2.38598403,103933.4642,Neighborhood Park,NP,11,Baxter Parklet,Baxter Park,Baxter Park,Eastern,1418.32464469,73a669d2-df96-412e-b2e3-f23595df4ca4,pgh.admin,2017-07-18T14:29:01.712Z,pgh.admin,2017-07-18T14:29:01.712Z,Parks - Eastern,1.02522085505415e-06,0.00452799880452716,eaa9c8f5-674c-4eb2-a227-233cd855c7e7
19,19,0.25893409,11279.1691562,Beautification Site,BTF,16,Bedford Strip,Bedford Strip,Bedford Strip,Schenley,1553.55958981,dfea1aef-b523-4d33-af69-492304f521a0,pgh.admin,2017-07-18T14:29:01.712Z,pgh.admin,2017-07-18T14:29:01.712Z,3rd Division,1.11239253158243e-07,0.00526101205543645,73b70587-7484-4116-adc2-3a160defa48a
20,20,0.24159761,10523.9918149,Beautification Site,BTF,5,Beechview Monument,Beechview Monument,Beechview Monument,Western,444.08349025,de2ca330-1b55-483d-9403-4637822ca5e3,pgh.admin,2017-07-18T14:29:01.712Z,pgh.admin,2017-07-18T14:29:01.712Z,5th Division,1.03730826290893e-07,0.00135964390359968,9e72b196-a913-457b-a163-df916c3d1fbe
21,21,0.80511429,35070.7782616,Regional Park,RP,6,Bigbee Field,Emerald View Park - Bigbee Field,Emerald View Regional Park (Bigbee Field),Southern,908.29036986,5dbd0956-a4df-4f5a-b85d-0b5928ef258e,pgh.admin,2017-07-18T14:29:01.712Z,pgh.admin,2017-07-18T14:29:01.712Z,Parks - Southern,3.45801004319531e-07,0.00310139599937218,f4ccdec3-328e-48a5-9b09-738b6d4e8a70
22,22,1.68346294,73331.6454534,Neighborhood Park,NP,9,Blair St Parklet,Blair Street Park,Blair St. Park,Schenley,1179.30834272,284d433b-7f9f-4708-83ff-c76d15c28685,pgh.admin,2017-07-18T14:29:01.712Z,pgh.admin,2017-07-18T14:29:01.712Z,Parks - Schenley,7.2280366806581e-07,0.00355227005191475,9fa03738-4e02-4741-b288-41f0b21a4d1d
23,23,5.8104579,253103.545914,Neighborhood Park,NP,13,Bloomfield Playground,Paul J. Sciullo II Memorial Park,Bloomfield Park,Northeast,3262.78087797,4724c15b-ecec-4b4b-9b88-c709f759b98f,pgh.admin,2017-07-18T14:29:01.712Z,pgh.admin,2017-07-18T14:29:01.712Z,Parks - Northeast,2.49688217112932e-06,0.0106412924967174,a28a77cb-e0c6-45b4-a261-9aac3b144f90
24,24,1.02277224,44551.9586535,Neighborhood Park,NP,6,Bon Air Tot Lot,Bon Air Park,Bon Air Park,Southern,939.81120638,48c76f2a-fc5c-4ed8-9ab0-465403a64d69,pgh.admin,2017-07-18T14:29:01.712Z,pgh.admin,2017-07-18T14:29:01.712Z,Parks - Southern,4.39155661183672e-07,0.00315064526822307,db5e78fc-217b-4f08-b1ac-6d8d3674d2a6
25,25,0.45756887,19931.7001729,Neighborhood Park,NP,14,Boundary St Tot Lot,Boundary Street Park,Boundary St. Park,Schenley,604.75253842,d6781a89-d8c3-4c74-b126-ce95efd574ed,pgh.admin,2017-07-18T14:29:01.712Z,pgh.admin,2017-07-18T14:29:01.712Z,Parks - Schenley,1.96559237892969e-07,0.00198484237610263,9a4ddd5d-3a7a-4038-9bce-5f8b1d620a43
26,26,32.01044155,1394374.83391,Community Park,CP,2,Brighton Heights Park,Brighton Heights Park,Brighton Heights Park,Northern,12357.0948233,2ebd3497-6b22-4a86-95f4-cc01dc82048a,pgh.admin,2017-07-18T14:29:01.712Z,pgh.admin,2017-07-18T14:29:01.712Z,Parks - Northern,1.37602636341702e-05,0.0394828103703346,ab33a10f-606e-4071-8ddd-80b575dc0360
